"Fecha","Ultimo","Apertura","Diferencia","Maximo","Minimo","Volumen"
13/07/11,"9666,9","9520,4","0,70%","9719,7",9508,293129000
12/07/11,"9603,4","9553,8","-0,70%","9690,3","9276,1",449762000
11/07/11,"9670,6","9867,4","-2,70%","9870,3","9588,1",338073000
08/07/11,"9938,2","10232,3","-2,50%","10261,1","9920,4",334061000
07/07/11,"10196,2","10234,3","-0,10%","10356,5",10123,226504000
06/07/11,"10204,5","10286,7","-1,20%","10288,6","10129,8",247531000
05/07/11,"10330,1","10442,8","-1,30%","10443,3","10307,8",178936000
04/07/11,10468,"10524,2","-0,20%","10524,2","10428,4",121604000
01/07/11,10492,"10359,4","1,30%","10536,8","10321,7",265148000
30/06/11,"10350,8","10205,2","2,00%","10354,7","10191,8",168565000
29/06/11,"10143,6","10001,5","2,10%","10234,9","9998,2",235843000
28/06/11,"9936,7","9898,6","0,70%",10002,"9823,6",214092000
27/06/11,"9872,2","9791,1","0,60%","9918,1","9758,5",162572000
24/06/11,"9812,7","10054,6","-1,30%","10085,7","9767,8",262013000
23/06/11,"9942,6","10170,7","-2,80%","10171,3","9910,5",256048000
22/06/11,"10226,2","10240,8","-0,10%","10264,4","10170,1",166037000
21/06/11,"10212,5","10078,5","1,70%","10223,1","10075,2",133955000
20/06/11,"10038,1","10029,8","-1,00%","10053,5","9918,8",207430000
17/06/11,"10135,2","9862,1","2,20%","10159,4","9803,8",513625000
16/06/11,"9918,5","9880,1","-0,10%","9928,9","9808,2",243908000
15/06/11,"9933,1","10118,1","-2,00%","10118,1","9919,4",224518000
14/06/11,"10132,6","9991,9","1,90%","10166,3","9991,9",180570000
13/06/11,"9946,2","9958,2","0,00%","9999,9","9903,6",120643000
10/06/11,"9950,8","10103,5","-1,70%","10129,9","9910,8",187982000
09/06/11,"10121,7","10079,2","0,40%","10141,8","10019,5",163515000
08/06/11,"10082,5","10137,9","-0,80%","10148,1","10050,5",162621000
07/06/11,"10168,1",10162,"0,10%","10206,9","10124,7",145107000
06/06/11,"10157,7","10278,7","-1,20%","10280,1","10123,3",150677000
03/06/11,"10285,7","10287,3","0,20%","10315,5",10133,188748000
02/06/11,10261,"10254,1","-0,80%","10375,2","10214,6",154967000
01/06/11,"10339,3",10506,"-1,30%",10549,"10313,3",202365000
31/05/11,10476,"10326,3","2,10%","10500,6",10325,257020000
30/05/11,"10257,6","10239,2","0,00%","10277,7","10224,9",78572000
27/05/11,"10261,2","10289,7","0,60%","10365,8","10203,7",179685000
26/05/11,"10203,2","10252,2","-0,10%",10349,"10158,9",215045000
25/05/11,"10217,4","10054,2","1,00%","10243,2","10042,6",212616000
24/05/11,"10115,9","10076,8","0,30%","10177,6","10074,4",182084000
23/05/11,"10082,7","10110,5","-1,40%","10122,5","10030,6",220742000
20/05/11,"10226,6","10389,3","-1,40%","10449,9","10190,9",281705000
19/05/11,"10376,8","10378,5","0,30%",10421,"10286,6",189011000
18/05/11,"10343,7","10381,3","0,40%",10387,"10269,4",181075000
17/05/11,"10306,4","10366,6","-0,60%","10431,8","10306,1",177689000
16/05/11,"10363,9","10280,2","0,10%","10390,9","10245,1",166999000
13/05/11,"10356,5","10512,1","-1,30%","10566,9","10321,8",229668000
12/05/11,"10487,6","10459,7","-0,40%","10487,6","10383,9",187824000
11/05/11,"10531,5","10527,5","0,50%","10590,3","10461,4",154751000
10/05/11,"10474,4","10401,5","0,80%","10498,1","10337,2",222694000
09/05/11,"10396,3","10546,9","-2,00%","10548,3","10368,1",227390000
06/05/11,"10578,4","10544,5","-0,50%","10628,4","10481,6",141285000
05/05/11,"10627,3","10749,3","-0,80%","10758,9","10574,2",215316000
04/05/11,"10712,6","10812,8","-1,00%","10883,1","10686,9",198034000
03/05/11,"10825,6",10865,"-0,50%","10865,6","10775,8",184413000
02/05/11,"10877,3","10917,4","0,00%","10928,2","10841,8",139444000
29/04/11,"10878,9","10889,3","0,10%","10911,3","10805,5",140332000
28/04/11,"10867,8","10809,9","1,20%",10890,10809,182170000
27/04/11,"10740,9","10673,1","0,80%","10769,7","10619,4",194417000
26/04/11,"10650,6","10574,9","0,60%","10700,2","10546,9",169712000
21/04/11,"10584,1","10603,8","0,50%","10634,1","10528,5",176355000
20/04/11,"10548,6","10461,4","1,70%","10569,9","10433,3",103762000
19/04/11,"10376,5","10355,6","0,30%","10433,2","10306,3",209775000
18/04/11,"10344,9","10574,8","-2,00%","10574,8","10289,1",349381000
15/04/11,"10558,6","10647,2","-0,60%","10647,6","10484,7",325846000
14/04/11,"10622,7","10747,8","-1,50%","10751,1","10558,1",261200000
13/04/11,10786,"10814,6","0,00%","10867,1","10767,6",219983000
12/04/11,"10784,5","10812,5","-0,90%","10882,3","10756,2",219734000
11/04/11,"10878,3","10896,2","-0,30%","10958,2","10860,1",156876000
08/04/11,"10913,2","10916,6","0,60%","10950,1","10885,3",184078000
07/04/11,"10849,1","10836,8","0,00%","10928,1","10778,4",274742000
06/04/11,"10845,1","10686,4","1,60%","10882,3","10658,7",241416000
05/04/11,"10678,6","10742,3","-0,70%","10749,3","10624,6",222697000
04/04/11,"10756,1","10710,2","0,20%","10813,9","10661,7",172979000
01/04/11,"10729,9","10657,2","1,50%","10729,9","10580,6",212310000
31/03/11,"10576,5","10755,8","-1,50%","10784,8","10570,9",247985000
30/03/11,"10732,3","10816,9","0,00%","10830,4","10699,2",201587000
29/03/11,10735,10760,"-0,10%","10778,1","10658,7",198381000
28/03/11,10751,"10721,7","0,40%",10766,"10677,8",149945000
25/03/11,"10710,4","10776,1","-0,40%","10801,1","10702,4",171675000
24/03/11,"10755,6","10545,3","1,10%",10766,10522,246475000
23/03/11,10638,"10548,4","0,60%","10658,9","10512,1",246215000
22/03/11,"10576,1","10584,8","0,00%","10734,3","10549,7",269854000
21/03/11,"10574,4","10473,7","2,40%","10574,4","10418,9",223977000
18/03/11,"10328,4","10382,8","0,00%","10448,6","10262,1",370068000
17/03/11,"10325,6","10183,7","2,30%",10375,"10085,5",265577000
16/03/11,"10092,6","10372,2","-2,30%","10422,2","10079,9",358245000
15/03/11,"10329,7","10250,2","-0,80%","10376,9","10076,5",471079000
14/03/11,"10415,9","10386,2","0,20%","10637,7","10364,5",505812000
11/03/11,"10398,4","10346,2","-0,40%","10452,8","10313,6",256479000
10/03/11,"10435,6","10444,9","-1,20%","10479,3","10351,2",243919000
09/03/11,"10559,5","10594,5","-0,10%","10602,4","10497,3",411425000
08/03/11,"10568,7","10529,4","0,70%","10568,7","10412,9",198314000
07/03/11,"10495,7","10478,1","0,00%","10623,9","10417,5",257321000
04/03/11,"10498,7",10596,"-0,60%","10627,2","10463,8",221762000
03/03/11,"10566,9","10682,9","-0,70%","10781,9","10512,2",262825000
02/03/11,"10643,8",10682,"-1,10%","10710,9","10576,2",233014000
01/03/11,"10761,9","10898,8","-0,80%","10939,7","10707,4",256468000
28/02/11,"10850,8","10829,9","0,30%",10923,"10730,7",216216000
25/02/11,"10822,7",10703,"1,60%","10848,6","10669,4",233462000
24/02/11,"10647,6","10563,2","0,10%","10674,6","10543,3",217940000
23/02/11,"10633,4","10705,2","-0,60%",10741,"10611,6",217729000
22/02/11,"10701,9","10720,2","-1,00%","10792,9","10601,3",260887000
21/02/11,"10810,5","11049,3","-2,30%","11050,3","10792,2",212236000
18/02/11,"11068,1","11137,6","-0,40%",11165,10961,325457000
17/02/11,11113,"11056,2","0,60%",11149,10999,245438000
16/02/11,"11047,8",10852,"2,00%","11092,1",10851,323647000
15/02/11,"10826,2","10753,3","0,50%","10899,6","10719,2",180920000
14/02/11,"10774,7","10847,6","-0,30%","10894,2","10733,8",187491000
11/02/11,"10803,6","10771,7","0,10%","10875,6","10656,4",177823000
10/02/11,"10791,9","10877,8","-1,30%","10885,3","10685,7",276284000
09/02/11,"10935,6","10950,6","-0,30%","11053,9","10910,7",202681000
08/02/11,"10965,1","10921,6","0,40%","10992,1","10869,4",196967000
07/02/11,"10922,6","10854,3","0,60%",10985,"10782,3",279793000
04/02/11,"10854,7","10875,3","-0,10%","10906,3","10770,4",228777000
03/02/11,"10860,7","10979,6","-1,40%","11019,1","10756,6",362088000
02/02/11,"11010,2","11004,2","0,40%","11044,3","10917,4",246889000
01/02/11,"10967,9","10886,2","1,50%","10987,1","10777,1",283883000
31/01/11,10806,"10738,2","0,50%","10918,6","10603,4",266180000
28/01/11,10747,10822,"-0,80%","10961,1","10713,4",341939000
27/01/11,"10828,7","10644,2","1,50%","10899,3","10579,9",297157000
26/01/11,"10670,7",10715,"0,10%","10812,3","10668,7",229377000
25/01/11,"10664,4","10840,8","-1,40%","10855,4","10626,7",294500000
24/01/11,"10815,4","10852,2","-0,10%","10925,5","10690,3",235973000
21/01/11,"10829,1","10663,4","1,80%","10937,6","10660,5",441528000
20/01/11,"10636,9","10542,6","0,80%",10683,"10515,5",365740000
19/01/11,"10556,5","10596,7","-0,30%",10618,"10493,3",294236000
18/01/11,"10583,4","10314,2","3,00%","10591,9","10304,6",320746000
17/01/11,10280,"10328,3","-1,00%","10354,9","10245,5",207148000
14/01/11,"10385,1","10337,8","0,10%",10423,"10249,5",292458000
13/01/11,"10370,8","10105,8","2,70%","10410,2","10096,8",484937000
12/01/11,"10101,2","9606,4","5,40%","10106,2",9596,415429000
11/01/11,"9582,1","9467,4","1,50%",9593,"9404,7",270518000
10/01/11,"9437,8","9488,3","-1,30%","9491,8","9387,9",271713000
07/01/11,"9560,7","9682,4","-1,50%","9699,4","9497,8",268083000
06/01/11,"9702,7","9803,2","-1,00%","9832,6","9678,4",179999000
05/01/11,"9801,4","9877,5","-0,90%","9882,4","9599,3",241101000
04/01/11,"9888,4","9895,5","0,00%","9974,2","9799,4",194824000
03/01/11,"9888,3","9899,4","0,30%","9993,6","9850,5",135778000
30/12/10,"9859,1","9985,1","-1,20%","9997,7","9858,8",155838000
29/12/10,"9981,5","9933,6","0,80%","10011,9","9900,6",95653000
28/12/10,"9903,5","9916,8","0,00%","9978,9",9863,83585000
27/12/10,9899,"10077,6","-2,10%","10092,9",9854,131680000
23/12/10,"10106,9","10202,3","-0,80%",10220,"10100,3",121337000
22/12/10,"10183,5","10214,8","-0,20%","10253,9","10165,8",156057000
21/12/10,"10203,4","10070,9","2,10%","10238,9","10037,7",187802000
20/12/10,"9996,1","9915,6","1,00%","10057,5","9851,1",246700000
17/12/10,"9898,1",10057,"-1,10%","10057,5","9850,1",379742000
16/12/10,"10010,3","9993,6","0,00%","10060,1","9919,7",192704000
15/12/10,"10009,8","10072,5","-1,50%","10080,1","9944,6",227045000
14/12/10,"10162,7","10164,6","0,10%","10181,3","10038,4",184160000
13/12/10,"10151,2","10165,8","0,30%","10219,7","10093,7",166397000
10/12/10,"10121,9","10224,6","-0,60%","10226,2","10064,5",190485000
09/12/10,"10185,5","10167,7","1,10%","10230,3",10107,241240000
08/12/10,"10078,4","9865,7","1,50%",10162,"9834,3",196241000
07/12/10,"9924,7",9884,"0,40%","10027,9","9826,3",254821000
00:00:00,"9889,9","10015,9","-1,20%","10034,1","9853,1",169558000
